season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
1,1,Minimum Viable Product,6 Apr. 2014,7.7,2685,"Richard is a computer programmer. He has to choose between a $10 million deal with Gavin Belson and a $200,000 deal with Peter Gregory, in exchange for his cooperation to make the idea of a super compressing algorithm change the world."
1,2,The Cap Table,13 Apr. 2014,7.8,2163,"Richard hires Jared to design a business plan. Big Head is asked to work for Gavin Belson, where he discovers that Hooli has stolen the Pied Piper algorithm and calls it Nucleus. Meanwhile Richard struggles to get his money from Gregory."
1,3,Articles of Incorporation,20 Apr. 2014,8.0,2083,"The guys find themselves in trouble with their company name when they find out it's already taken. So whilst Richard tries to find a solution, Erlich searches for a new name in another dimension of his consciousness."
1,4,Fiduciary Duties,27 Apr. 2014,7.7,1931,"Richard drunkenly promises to make Erlich a board member, which he regrets the next morning. Big Head finds others at Hooli, who like him, have made careers out of doing nothing. Richard struggles to put Pied Piper's vision into words."
1,5,Signaling Risk,4 May 2014,8.3,1980,"Now that Pied Piper is the official company name, Erlich wants a logotype to go with it so he hires a very unexpected artist in for the job. Meanwhile Richard gets a tighter deadline for the project after a simple mistake."
1,6,Third Party Insourcing,11 May 2014,8.4,1998,"Richard comes across a problem in the code writing and hires Kevin, a young kid, to write the code for him."
1,7,Proof of Concept,18 May 2014,8.5,1994,"Richard has trouble getting Pied Piper ready in time for the TechCrunch Disrupt, while Erlich realizes he slept with the wife of one of the judges of the contest."
1,8,Optimal Tip-To-Tip Efficiency,1 Jun. 2014,9.3,3627,Pied Piper makes it to the next stage of Disrupt but runs into trouble with Hooli's presentation. The guys break out into a ridiculous argument and Richard tries to pull Pied Piper together before the big presentation.
2,1,Sand Hill Shuffle,12 Apr. 2015,8.2,1882,Monica deals with her new boss; Richard makes a decision about the company's future.
2,2,Runaway Devaluation,19 Apr. 2015,7.9,1613,"Richard and the guys struggle to find a backer as they face legal and financial woes. Meanwhile, an old enemy pays Richard a visit."
2,3,Bad Money,26 Apr. 2015,8.0,1609,"While considering Gavin's proposal, Richard is approached by a billionaire."
2,4,The Lady,3 May 2015,7.8,1575,Richard butts heads with Erlich over a prospective hire; Dinesh and Gilfoyle grow suspicious.
2,5,Server Space,10 May 2015,8.0,1561,Gavin's interference causes Pied Piper to struggle with securing their expansion.
2,6,Homicide,17 May 2015,8.7,1823,Monica encourages the guys to pounce on an opportunity; Erlich reconnects with a former mentee.
2,7,Adult Content,24 May 2015,8.4,1583,"With the Pied Piper team fielding job offers, Richard faces the prospect of folding."
2,8,White Hat/Black Hat,31 May 2015,8.2,1629,Richard accidentally sparks a feud that leads him to become paranoid about security.
2,9,Binding Arbitration,7 Jun. 2015,8.7,1684,"Erlich demands to be put on stand as Pied Piper and Hooli enter Arbitration. Richard faces a moral dilemma now that he realizes that Hooli's claim may have successful potential. Meanwhile back at Pied Piper headquarters, Jared, Dinesh and Gilfoyle question a profound theory and its affiliation to their live stream."
2,10,Two Days of the Condor,14 Jun. 2015,9.2,2320,"The verdict on Pied Piper's fate coincides with a startling real-life drama that makes their livestream immensely popular, and emotions run high as the gang tries to keep the company together."
3,1,Founder Friendly,24 Apr. 2016,8.1,1640,"After being unceremoniously fired, an angry Richard faces a tough decision: accept the diminished role of CTO, or leave Pied Piper for good. Erlich takes a shine to Jack Barker, Laurie's new choice of CEO, while Dinesh and Gilfoyle weigh their options in Richard's absence. At Hooli, Gavin tries to improve his image by admitting failure, and Big Head gets wind of major changes."
3,2,Two in the Box,1 May 2016,8.0,1462,"The new and improved Pied Piper impresses Dinesh and Gilfoyle, but worries Richard; Jared and Erlich face housing issues; Gavin suggests a controversial move."
3,3,Meinertzhagen's Haversack,8 May 2016,8.6,1620,Richard searches for a way around Jack; Gilfoyle opens himself up to recruiters; Dinesh draws unwanted attention from a recent purchase.
3,4,Maleant Data Systems Solutions,15 May 2016,8.6,1501,The Pied Piper guys struggle to phone it in; Erlich faces competition; Monica takes a stand; Gavin makes a decision about Nucleus.
3,5,The Empty Chair,22 May 2016,7.9,1387,"Richard lets his ego get in the way at an interview; Dinesh, Gilfoyle and Jared misplace hardware; Erlich pitches his plans to Big Head."
3,6,Bachmanity Insanity,29 May 2016,8.1,1414,Richard's new relationship is threatened by neuroses; Big Head and Erlich's launch party has snags; Dinesh falls for a foreign coworker.
3,7,To Build a Better Beta,5 Jun. 2016,8.3,1362,Richard decides to test the Pied Piper beta. Erlich finds himself in financial trouble.
3,8,Bachman's Earnings Over-Ride,12 Jun. 2016,8.4,1348,"Erlich tries to be honest with Richard, who has mixed emotions about their friendship and the future of Pied Piper. Meanwhile, Jared's new company apparel turns heads but fuels yet another clash between Dinesh and Gilfoyle."
